X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y
-118.236440476146,34.0560549566625,56393,Metropolitan Transportation Authority (MTA),1054069001,Transportation,Metro Stations,,LA County,Union Station,800 N. Alameda St.,,Los Angeles,CA,"Monday through Thursday, 9:00a to 7:00pm; Friday, 9:00am to 5:30pm; first and fourth Saturday of the month, 9:00am to 3:00pm.",(800) USA-RAIL / Amtrak Service/Intake (800) 872-7245,,http://www.metrolinktrains.com/stations/detail.php?id=131,,,58336,"Union Station is a major transportation hub in the County of Los Angeles.  It includes <a href=""http://www.amtrak.com/servlet/ContentServer?pagename=am/am2Station/Station_Page&amp;code=LAX"" target=""_blank"">Amtrak</a>, <a href=""http://www.metrolinktrains.com/stations/detail.php?id=131"" target=""_blank"">Metrolink</a>, and <a href=""http://www.metro.net/"" target=""_blank"">Metro Red Line and Gold Line</a> stops.

There are 1,162 parking spots at the station, nearby Paid Parking (Independent)<em> </em>

<em>Union Station - </em><em>8 Bike Rack Spaces
Gateway</em> <em>- 16 Bike Rack Spaces/32 Bike Lockers</em>",90012,http://egis3.lacounty.gov/lms/?p=58336,publish,34.05605499,-118.23644042,2013/06/04 14:27:31+00,,6490052.98269998,1842864.11310473
-118.243240056089,33.9427019668388,61143,Metropolitan Transportation Authority (MTA),80000013,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),103rd Street Metro Station,,,Los Angeles,CA,,,,http://www.metro.net/around/rail/blue-line/,,,63016,Blue Line,,http://egis3.lacounty.gov/lms/?p=63016,publish,33.942702,-118.24324,2012/03/22 17:12:48+00,,6487893.58511588,1801617.66180514
-118.243310056537,33.9743459670885,61145,Metropolitan Transportation Authority (MTA),80000015,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Florence Metro Station,,,Los Angeles,CA,,,,http://www.metro.net/around/rail/blue-line/,,,63018,Blue Line,,http://egis3.lacounty.gov/lms/?p=63018,publish,33.974346,-118.24331,2012/03/22 17:13:03+00,,6487900.22814722,1813133.61383881
-118.243195056106,33.9876039666571,61146,Metropolitan Transportation Authority (MTA),80000016,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Slauson Metro Station,,,Los Angeles,CA,,,,http://www.metro.net/around/rail/blue-line/,,,63019,Blue Line,,http://egis3.lacounty.gov/lms/?p=63019,publish,33.987604,-118.243195,2012/03/22 17:13:11+00,,6487946.76873656,1817958.37945172
-118.243138056001,34.0031939666027,61147,Metropolitan Transportation Authority (MTA),80000017,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Vernon Metro Station,,,Los Angeles,CA,,,,http://www.metro.net/around/rail/blue-line/,,,63020,Blue Line,,http://egis3.lacounty.gov/lms/?p=63020,publish,34.003194,-118.243138,2012/03/22 17:13:19+00,,6487977.77129921,1823631.84349848
-118.242825056595,34.0204059670753,61148,Metropolitan Transportation Authority (MTA),80000018,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Washington Metro Station,,,Los Angeles,CA,,,,http://www.metro.net/around/rail/blue-line/,,,63021,Blue Line,,http://egis3.lacounty.gov/lms/?p=63021,publish,34.020406,-118.242825,2012/03/22 17:13:25+00,,6488087.7694388,1829895.39133881
-118.256067056302,34.027080967076,61149,Metropolitan Transportation Authority (MTA),80000019,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),San Pedro Metro Station,,,Los Angeles,CA,,,,http://www.metro.net/around/rail/blue-line/,,,63022,Blue Line,,http://egis3.lacounty.gov/lms/?p=63022,publish,34.027081,-118.256067,2012/03/22 17:13:32+00,,6484081.28106073,1832334.50719547
-118.268996056153,34.0330169665499,61150,Metropolitan Transportation Authority (MTA),80000020,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Grand Metro Station,,,Los Angeles,CA,,,,http://www.metro.net/around/rail/blue-line/,,,63023,Blue Line,,http://egis3.lacounty.gov/lms/?p=63023,publish,34.033017,-118.268996,2012/03/22 17:13:40+00,,6480169.54643014,1834504.9592194
-118.266455056778,34.0404219664994,61151,Metropolitan Transportation Authority (MTA),80000021,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Pico Metro Station,,,Los Angeles,CA,,,,http://www.metro.net/around/rail/blue-line/,,,63024,Blue Line <em>and Expo Line (future)</em>,,http://egis3.lacounty.gov/lms/?p=63024,publish,34.040422,-118.266455,2012/03/22 17:14:24+00,,6480946.56357689,1837197.72483122
-118.258738056274,34.0487059668127,61152,Metropolitan Transportation Authority (MTA),80000022,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),7th Street / Metro Center Metro Station,660 S Figueroa St,,Los Angeles,CA,,,,http://www.metro.net/around/rail/red-line/,,,63025,Purple/Red Line/Blue Line/<em>Expo Line (future)</em>,90017,http://egis3.lacounty.gov/lms/?p=63025,publish,34.048706,-118.258738,2012/03/28 17:27:45+00,,6483292.21899055,1840206.31723922
